index,source,student_psnr_db,student_ssim,student_mae_normalized,bicubic_psnr_db,bicubic_ssim,bicubic_mae_normalized
1811,/root/autodl-tmp/data/REDS/val_sharp/018/00000010.png,23.117711,0.558983,0.05004308,23.032864,0.550456,0.05048551
1812,/root/autodl-tmp/data/REDS/val_sharp/018/00000011.png,23.124835,0.559540,0.04994129,23.039826,0.551029,0.05037717
1813,/root/autodl-tmp/data/REDS/val_sharp/018/00000012.png,23.103632,0.561023,0.05001143,23.021289,0.552792,0.05044055
1814,/root/autodl-tmp/data/REDS/val_sharp/018/00000013.png,23.144470,0.563513,0.04975009,23.059246,0.554985,0.05020009
1815,/root/autodl-tmp/data/REDS/val_sharp/018/00000014.png,23.123566,0.562340,0.04993894,23.036423,0.553801,0.05038222
1816,/root/autodl-tmp/data/REDS/val_sharp/018/00000015.png,23.027698,0.558494,0.05046584,22.941231,0.549936,0.05090950
1817,/root/autodl-tmp/data/REDS/val_sharp/018/00000016.png,22.999688,0.556564,0.05061816,22.914371,0.547969,0.05106870
1818,/root/autodl-tmp/data/REDS/val_sharp/018/00000017.png,22.953161,0.553989,0.05091592,22.872372,0.545475,0.05134626
1819,/root/autodl-tmp/data/REDS/val_sharp/018/00000018.png,23.096935,0.560319,0.05007548,23.011787,0.551728,0.05052157
1820,/root/autodl-tmp/data/REDS/val_sharp/018/00000019.png,23.022763,0.556278,0.05059291,22.942271,0.547900,0.05102534
1821,/root/autodl-tmp/data/REDS/val_sharp/018/00000020.png,23.090983,0.559331,0.05018663,23.007040,0.550821,0.05062884
1822,/root/autodl-tmp/data/REDS/val_sharp/018/00000021.png,23.171945,0.563526,0.04970634,23.086148,0.554917,0.05014851
1823,/root/autodl-tmp/data/REDS/val_sharp/018/00000022.png,23.210579,0.566217,0.04936991,23.125123,0.557800,0.04981400
1824,/root/autodl-tmp/data/REDS/val_sharp/018/00000023.png,23.268842,0.569540,0.04901684,23.182672,0.561109,0.04946174
1825,/root/autodl-tmp/data/REDS/val_sharp/018/00000024.png,23.295491,0.569796,0.04881746,23.209139,0.561409,0.04925534
1826,/root/autodl-tmp/data/REDS/val_sharp/018/00000025.png,23.353029,0.572236,0.04840622,23.267069,0.563772,0.04884214
1827,/root/autodl-tmp/data/REDS/val_sharp/018/00000026.png,23.276136,0.568392,0.04883805,23.191753,0.559980,0.04927282
1828,/root/autodl-tmp/data/REDS/val_sharp/018/00000027.png,23.359102,0.571987,0.04828718,23.274648,0.563410,0.04872068
1829,/root/autodl-tmp/data/REDS/val_sharp/018/00000028.png,23.311187,0.570019,0.04861889,23.224175,0.561313,0.04906448
1830,/root/autodl-tmp/data/REDS/val_sharp/018/00000029.png,23.316118,0.570355,0.04857999,23.227306,0.561756,0.04902479
1831,/root/autodl-tmp/data/REDS/val_sharp/018/00000030.png,23.412219,0.575579,0.04796069,23.326766,0.567179,0.04839061
1832,/root/autodl-tmp/data/REDS/val_sharp/018/00000031.png,23.383900,0.574744,0.04809547,23.296290,0.566046,0.04854238
1833,/root/autodl-tmp/data/REDS/val_sharp/018/00000032.png,23.436146,0.577338,0.04775555,23.347387,0.568660,0.04820068
1834,/root/autodl-tmp/data/REDS/val_sharp/018/00000033.png,23.538289,0.581787,0.04715144,23.451402,0.573082,0.04758954
1835,/root/autodl-tmp/data/REDS/val_sharp/018/00000034.png,23.635912,0.584532,0.04666164,23.545499,0.575770,0.04711483
1836,/root/autodl-tmp/data/REDS/val_sharp/018/00000035.png,23.644467,0.585277,0.04661518,23.555067,0.576597,0.04705741
1837,/root/autodl-tmp/data/REDS/val_sharp/018/00000036.png,23.567909,0.577933,0.04711043,23.479091,0.569192,0.04755687
1838,/root/autodl-tmp/data/REDS/val_sharp/018/00000037.png,23.574265,0.577147,0.04699112,23.488882,0.568469,0.04741608
1839,/root/autodl-tmp/data/REDS/val_sharp/018/00000038.png,23.610320,0.578774,0.04681105,23.528198,0.570423,0.04721496
1840,/root/autodl-tmp/data/REDS/val_sharp/018/00000039.png,23.664568,0.581994,0.04640032,23.576148,0.573315,0.04682432
1841,/root/autodl-tmp/data/REDS/val_sharp/018/00000040.png,23.682020,0.582960,0.04619850,23.596074,0.574337,0.04661853
1842,/root/autodl-tmp/data/REDS/val_sharp/018/00000041.png,23.727049,0.585387,0.04594569,23.637754,0.576748,0.04637266
1843,/root/autodl-tmp/data/REDS/val_sharp/018/00000042.png,23.764324,0.586755,0.04582164,23.676831,0.578241,0.04624243
1844,/root/autodl-tmp/data/REDS/val_sharp/018/00000043.png,23.710516,0.586701,0.04601434,23.622260,0.578183,0.04643184
1845,/root/autodl-tmp/data/REDS/val_sharp/018/00000044.png,23.690362,0.586859,0.04605838,23.603063,0.578307,0.04648179
1846,/root/autodl-tmp/data/REDS/val_sharp/018/00000045.png,23.681278,0.586600,0.04608759,23.595148,0.578168,0.04650269
1847,/root/autodl-tmp/data/REDS/val_sharp/018/00000046.png,23.702394,0.587849,0.04594462,23.611974,0.579301,0.04637734
1848,/root/autodl-tmp/data/REDS/val_sharp/018/00000047.png,23.761025,0.592657,0.04554357,23.670661,0.583998,0.04597832
1849,/root/autodl-tmp/data/REDS/val_sharp/018/00000048.png,23.878349,0.596778,0.04490279,23.786330,0.588134,0.04533638
1850,/root/autodl-tmp/data/REDS/val_sharp/018/00000049.png,23.844169,0.594792,0.04509200,23.753857,0.586222,0.04553132
1851,/root/autodl-tmp/data/REDS/val_sharp/018/00000050.png,23.855474,0.598116,0.04488016,23.764026,0.589617,0.04531591
1852,/root/autodl-tmp/data/REDS/val_sharp/018/00000051.png,23.902520,0.598971,0.04467499,23.809487,0.590313,0.04511939
1853,/root/autodl-tmp/data/REDS/val_sharp/018/00000052.png,23.843054,0.596779,0.04490867,23.755044,0.588317,0.04533770
